Entry	Status	Protein names	Gene names	Length
Q9Z2H5	reviewed	Band 4.1-like protein 1 (Neuronal protein 4.1) (4.1N)	Epb41l1 Epb4 Epb4.1l1 Kiaa0338	879
P48193	reviewed	Protein 4.1 (P4.1) (4.1R) (Band 4.1)	Epb41 Epb4.1 Kiaa4056	858
P97481	reviewed	Endothelial PAS domain-containing protein 1 (EPAS-1) (HIF-1-alpha-like factor) (HLF) (mHLF) (HIF-related factor) (HRF) (Hypoxia-inducible factor 2-alpha) (HIF-2-alpha) (HIF2-alpha)	Epas1 Hif2a	874
Q8CHI8	reviewed	E1A-binding protein p400 (EC 3.6.4.-) (Domino homolog) (mDomino) (p400 kDa SWI2/SNF2-related protein)	Ep400 Kiaa1498	3072
B2RWS6	reviewed	Histone acetyltransferase p300 (p300 HAT) (EC 2.3.1.48) (E1A-associated protein p300) (Histone butyryltransferase p300) (EC 2.3.1.-) (Histone crotonyltransferase p300) (EC 2.3.1.-) (Protein 2-hydroxyisobutyryltransferase p300) (EC 2.3.1.-) (Protein propionyltransferase p300) (EC 2.3.1.-)	Ep300 P300	2412
O54839	reviewed	Eomesodermin homolog (T-box brain protein 2) (T-brain-2) (TBR-2)	Eomes Tbr2	707
Q8BYW9	reviewed	EGF domain-specific O-linked N-acetylglucosamine transferase (EC 2.4.1.255) (Extracellular O-linked N-acetylglucosamine transferase)	Eogt Aer61 Eogt1	527
Q9JIX0	reviewed	Transcription and mRNA export factor ENY2 (Enhancer of yellow 2 transcription factor homolog)	Eny2	101
A2AIW0	reviewed	Endosome-associated-trafficking regulator 1 (Serologically defined colon cancer antigen 3)	Entr1 Sdccag3	432
Q8K0L2	reviewed	Ectonucleoside triphosphate diphosphohydrolase 8 (E-NTPDase 8) (NTPDase 8) (NTPDase8) (EC 3.6.1.5)	Entpd8	497
Q3TCT4	reviewed	Ectonucleoside triphosphate diphosphohydrolase 7 (NTPDase 7) (EC 3.6.1.-) (Lysosomal apyrase-like protein 1)	Entpd7 Kiaa4066 Lalp1	606
Q9WUZ9	reviewed	Ectonucleoside triphosphate diphosphohydrolase 5 (NTPDase 5) (EC 3.6.1.6) (CD39 antigen-like 4) (ER-UDPase) (Guanosine-diphosphatase ENTPD5) (GDPase ENTPD5) (EC 3.6.1.42) (Nucleoside diphosphatase) (Uridine-diphosphatase ENTPD5) (UDPase ENTPD5)	Entpd5 Cd39l4	427
Q9DBT4	reviewed	Ectonucleoside triphosphate diphosphohydrolase 4 (NTPDase 4) (EC 3.6.1.6) (Lysosomal apyrase-like protein of 70 kDa) (Uridine-diphosphatase) (UDPase)	Entpd4 Lalp70 Lysal1	613
O55026	reviewed	Ectonucleoside triphosphate diphosphohydrolase 2 (NTPDase 2) (EC 3.6.1.-) (CD39 antigen-like 1) (Ecto-ATP diphosphohydrolase 2) (Ecto-ATPDase 2) (Ecto-ATPase 2)	Entpd2 Cd39l1	495
P55772	reviewed	Ectonucleoside triphosphate diphosphohydrolase 1 (NTPDase 1) (EC 3.6.1.5) (Ecto-ATP diphosphohydrolase 1) (Ecto-ATPDase 1) (Ecto-ATPase 1) (Ecto-apyrase) (Lymphoid cell activation antigen) (CD antigen CD39)	Entpd1 Cd39	510
P60840	reviewed	Alpha-endosulfine (ARPP-19e)	Ensa	121
Q3TIW9	reviewed	Ectonucleotide pyrophosphatase/phosphodiesterase family member 7 (E-NPP 7) (NPP-7) (EC 3.1.4.12) (Alkaline sphingomyelin phosphodiesterase) (Intestinal alkaline sphingomyelinase) (Alk-SMase)	Enpp7	439
Q8BGN3	reviewed	Glycerophosphocholine cholinephosphodiesterase ENPP6 (GPC-Cpde) (EC 3.1.4.-) (EC 3.1.4.38) (Choline-specific glycerophosphodiester phosphodiesterase) (Ectonucleotide pyrophosphatase/phosphodiesterase family member 6) (E-NPP 6) (NPP-6)	Enpp6	440
Q9EQG7	reviewed	Ectonucleotide pyrophosphatase/phosphodiesterase family member 5 (E-NPP 5) (NPP-5) (EC 3.1.-.-)	Enpp5	477
Q8BTJ4	reviewed	Bis(5'-adenosyl)-triphosphatase enpp4 (EC 3.6.1.29) (AP3A hydrolase) (AP3Aase) (Ectonucleotide pyrophosphatase/phosphodiesterase family member 4) (E-NPP 4) (NPP-4)	Enpp4 Kiaa0879	456
Q6DYE8	reviewed	Ectonucleotide pyrophosphatase/phosphodiesterase family member 3 (E-NPP 3) (Phosphodiesterase I beta) (PD-Ibeta) (Phosphodiesterase I/nucleotide pyrophosphatase 3) (CD antigen CD203c) [Includes: Alkaline phosphodiesterase I (EC 3.1.4.1); Nucleotide pyrophosphatase (NPPase) (EC 3.6.1.9) (Nucleotide diphosphatase)]	Enpp3	874
Q9R1E6	reviewed	Ectonucleotide pyrophosphatase/phosphodiesterase family member 2 (E-NPP 2) (EC 3.1.4.39) (Autotaxin) (Extracellular lysophospholipase D) (LysoPLD)	Enpp2 Npps2 Pdnp2	862
P06802	reviewed	Ectonucleotide pyrophosphatase/phosphodiesterase family member 1 (E-NPP 1) (Lymphocyte antigen 41) (Ly-41) (Phosphodiesterase I/nucleotide pyrophosphatase 1) (Plasma-cell membrane glycoprotein PC-1) [Cleaved into: Ectonucleotide pyrophosphatase/phosphodiesterase family member 1, secreted form] [Includes: Alkaline phosphodiesterase I (EC 3.1.4.1); Nucleotide pyrophosphatase (NPPase) (EC 3.6.1.9) (Nucleotide diphosphatase)]	Enpp1 Npps Pc1 Pdnp1	906
P16406	reviewed	Glutamyl aminopeptidase (EAP) (EC 3.4.11.7) (Aminopeptidase A) (AP-A) (BP-1/6C3 antigen) (CD antigen CD249)	Enpep	945
Q8R0Z2	reviewed	Ecto-NOX disulfide-thiol exchanger 2 (APK1 antigen) (Cytosolic ovarian carcinoma antigen 1) (Tumor-associated hydroquinone oxidase) (tNOX) [Includes: Hydroquinone [NADH] oxidase (EC 1.-.-.-); Protein disulfide-thiol oxidoreductase (EC 1.-.-.-)]	Enox2 Cova1	598
Q8BHR2	reviewed	Ecto-NOX disulfide-thiol exchanger 1 (Constitutive Ecto-NOX) (cNOX) [Includes: Hydroquinone [NADH] oxidase (EC 1.-.-.-); Protein disulfide-thiol oxidoreductase (EC 1.-.-.-)]	Enox1	643
Q8BGB7	reviewed	Enolase-phosphatase E1 (EC 3.1.3.77) (2,3-diketo-5-methylthio-1-phosphopentane phosphatase) (MASA homolog)	Enoph1 Masa	257
Q8C042	reviewed	Enolase 4 (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase)	Eno4	619
P21550	reviewed	Beta-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (Enolase 3) (Muscle-specific enolase) (MSE) (Skeletal muscle enolase)	Eno3 Eno-3	434
P17183	reviewed	Gamma-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (Enolase 2) (Neural enolase) (Neuron-specific enolase) (NSE)	Eno2 Eno-2	434
P17182	reviewed	Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (Enolase 1) (Non-neural enolase) (NNE)	Eno1 Eno-1	434
Q6SP97	reviewed	Enkurin	Enkur	255
Q7TSV9	reviewed	Enkurin domain-containing protein 1	Enkd1	346
Q8K1D8	reviewed	Adropin (Energy homeostasis-associated protein)	Enho	76
Q8BX80	reviewed	Cytosolic endo-beta-N-acetylglucosaminidase (ENGase) (EC 3.2.1.96)	Engase	734
Q63961	reviewed	Endoglin (Cell surface MJ7/18 antigen) (CD antigen CD105)	Eng Edg	653
Q8C9A2	reviewed	Endonuclease V (EC 3.1.26.-)	Endov	338
Q3V188	reviewed	Poly(U)-specific endoribonuclease (EC 3.1.-.-) (Placental protein 11-related protein) (PP11-related protein) (Protein endoU) (T-cell-specific protein 30) (Tcl-30) (Uridylate-specific endoribonuclease)	Endou Pp11r	412
O08600	reviewed	Endonuclease G, mitochondrial (Endo G) (EC 3.1.30.-)	Endog	294
Q8C522	reviewed	Endonuclease domain-containing 1 protein (EC 3.1.30.-)	Endod1 Kiaa0830	501
O35709	reviewed	Ectoderm-neural cortex protein 1 (ENC-1)	Enc1 Enc-1	589
O55196	reviewed	Enamelin	Enam	1274
Q03173	reviewed	Protein enabled homolog (NPC-derived proline-rich protein 1) (NDPP-1)	Enah Mena Ndpp1	802
P09066	reviewed	Homeobox protein engrailed-2 (Homeobox protein en-2) (Mo-En-2)	En2 En-2	324
P09065	reviewed	Homeobox protein engrailed-1 (Homeobox protein en-1) (Mo-En-1)	En1 En-1	401
Q04744	reviewed	Homeobox protein EMX2 (Empty spiracles homolog 2) (Empty spiracles-like protein 2)	Emx2 Emx-2	253
Q04742	reviewed	Homeobox protein EMX1 (Empty spiracles homolog 1) (Empty spiracles-like protein 1)	Emx1 Emx-1	257
Q8BMB0	reviewed	BRCA2-interacting transcriptional repressor EMSY	Emsy	1264
O35912	reviewed	Epithelial membrane protein 3 (EMP-3) (Hematopoietic neural membrane protein 1) (HNMP-1) (Protein YMP)	Emp3 Ymp	163
O88662	reviewed	Epithelial membrane protein 2 (EMP-2) (Protein XMP)	Emp2 Xmp	172
P47801	reviewed	Epithelial membrane protein 1 (EMP-1) (Tumor-associated membrane protein)	Emp1 Tmp	160
Q5SQM0	reviewed	Echinoderm microtubule-associated protein-like 6 (EMAP-6) (Echinoderm microtubule-associated protein-like 5-like)	Eml6 Eml5l	1958
Q8BQM8	reviewed	Echinoderm microtubule-associated protein-like 5 (EMAP-5)	Eml5	1977
Q3UMY5	reviewed	Echinoderm microtubule-associated protein-like 4 (EMAP-4)	Eml4	988
Q8VC03	reviewed	Echinoderm microtubule-associated protein-like 3 (EMAP-3)	Eml3	897
Q7TNG5	reviewed	Echinoderm microtubule-associated protein-like 2 (EMAP-2)	Eml2	649
Q05BC3	reviewed	Echinoderm microtubule-associated protein-like 1 (EMAP-1)	Eml1	814
P59900	reviewed	EMILIN-3 (EMILIN-5) (Elastin microfibril interface located protein 5) (Elastin microfibril interfacer 5) (Elastin microfibril interface-located protein 3) (Elastin microfibril interfacer 3)	Emilin3 Emilin5	758
Q8K482	reviewed	EMILIN-2 (Basilin) (Elastin microfibril interface-located protein 2) (Elastin microfibril interfacer 2)	Emilin2	1074
Q99K41	reviewed	EMILIN-1 (Elastin microfibril interface-located protein 1) (Elastin microfibril interfacer 1)	Emilin1	1017
Q91VF5	reviewed	EMI domain-containing protein 1 (Emilin and multimerin domain-containing protein 1) (Emu1)	Emid1 Emu1	444
O35130	reviewed	Ribosomal RNA small subunit methyltransferase NEP1 (EC 2.1.1.-) (18S rRNA (pseudouridine(1248)-N1)-methyltransferase) (18S rRNA Psi1248 methyltransferase) (Nucleolar protein EMG1 homolog) (Protein C2f) (Ribosome biogenesis protein NEP1)	Emg1 C2f Grcc2f	244
Q56A04	reviewed	Probable crossover junction endonuclease EME2 (EC 3.1.22.-)	Eme2	373
Q8BJW7	reviewed	Crossover junction endonuclease EME1 (EC 3.1.22.-)	Eme1	570
O08579	reviewed	Emerin	Emd Sta	259
Q9R0H2	reviewed	Endomucin (Endomucin-1/2) (Mucin-14) (MUC-14)	Emcn Muc14	261
Q9DB76	reviewed	ER membrane protein complex subunit 9 (Protein FAM158A)	Emc9 Cgi112 Fam158a	206
O70378	reviewed	ER membrane protein complex subunit 8 (Neighbor of COX4)	Emc8 Cox4al Cox4nb Noc4	207
Q9EP72	reviewed	ER membrane protein complex subunit 7	Emc7 Orf3	241
Q9CQW0	reviewed	ER membrane protein complex subunit 6 (Transmembrane protein 93)	Emc6 Tmem93	110
Q9CZX9	reviewed	ER membrane protein complex subunit 4 (Transmembrane protein 85)	Emc4 Tmem85	183
Q99KI3	reviewed	ER membrane protein complex subunit 3 (Transmembrane protein 111)	Emc3 Tmem111	261
Q9CRD2	reviewed	ER membrane protein complex subunit 2 (Tetratricopeptide repeat protein 35) (TPR repeat protein 35)	Emc2 Kiaa0103 Ttc35	297
Q3TAS6	reviewed	ER membrane protein complex subunit 10 (Hematopoietic signal peptide-containing membrane domain-containing protein 1)	Emc10 Hsm1 Inm02	258
Q8C7X2	reviewed	ER membrane protein complex subunit 1	Emc1 Kiaa0090	997
P21995	reviewed	Embigin (Teratocarcinoma glycoprotein Gp-70)	Emb Gp70	330
Q8BK75	reviewed	Elongator complex protein 6 (Protein TMEM103)	Elp6 Tmem103	266
Q99L85	reviewed	Elongator complex protein 5 (Dermal papilla-derived protein 6 homolog) (Retinoic acid-induced protein 12)	Elp5 Derp6 Rai12	300
Q9ER73	reviewed	Elongator complex protein 4 (PAX6 neighbor gene protein)	Elp4 Paxneb	422
Q9CZX0	reviewed	Elongator complex protein 3 (Protein lysine acetyltransferase ELP3) (EC 2.3.1.-) (tRNA uridine(34) acetyltransferase) (EC 2.3.1.-)	Elp3	547
Q91WG4	reviewed	Elongator complex protein 2 (ELP2) (STAT3-interacting protein 1) (StIP1)	Elp2 Statip1	831
Q7TT37	reviewed	Elongator complex protein 1 (ELP1) (IkappaB kinase complex-associated protein) (IKK complex-associated protein)	Elp1 Ikap Ikbkap	1333
Q9D2Y9	reviewed	Elongation of very long chain fatty acids protein 7 (EC 2.3.1.199) (3-keto acyl-CoA synthase Elovl7) (ELOVL fatty acid elongase 7) (ELOVL FA elongase 7) (Very long chain 3-ketoacyl-CoA synthase 7) (Very long chain 3-oxoacyl-CoA synthase 7)	Elovl7	281
Q920L5	reviewed	Elongation of very long chain fatty acids protein 6 (EC 2.3.1.199) (3-keto acyl-CoA synthase Elovl6) (ELOVL fatty acid elongase 6) (ELOVL FA elongase 6) (Fatty acyl-CoA elongase) (Long chain fatty acid elongase) (Myelin-associated SUR4 protein) (Very long chain 3-ketoacyl-CoA synthase 6) (Very long chain 3-oxoacyl-CoA synthase 6)	Elovl6 Face Lce Masr	267
Q8BHI7	reviewed	Elongation of very long chain fatty acids protein 5 (EC 2.3.1.199) (3-keto acyl-CoA synthase Elovl5) (ELOVL fatty acid elongase 5) (ELOVL FA elongase 5) (Very long chain 3-ketoacyl-CoA synthase 5) (Very long chain 3-oxoacyl-CoA synthase 5)	Elovl5	299
Q9EQC4	reviewed	Elongation of very long chain fatty acids protein 4 (EC 2.3.1.199) (3-keto acyl-CoA synthase Elovl4) (ELOVL fatty acid elongase 4) (ELOVL FA elongase 4) (Very long chain 3-ketoacyl-CoA synthase 4) (Very long chain 3-oxoacyl-CoA synthase 4)	Elovl4	312
O35949	reviewed	Elongation of very long chain fatty acids protein 3 (EC 2.3.1.199) (3-keto acyl-CoA synthase Elovl3) (CIN-2) (Cold-inducible glycoprotein of 30 kDa) (ELOVL fatty acid elongase 3) (ELOVL FA elongase 3) (Very long chain 3-ketoacyl-CoA synthase 3) (Very long chain 3-oxoacyl-CoA synthase 3)	Elovl3 Cig30	271
Q9JLJ4	reviewed	Elongation of very long chain fatty acids protein 2 (EC 2.3.1.199) (3-keto acyl-CoA synthase Elovl2) (ELOVL fatty acid elongase 2) (ELOVL FA elongase 2) (Very long chain 3-ketoacyl-CoA synthase 2) (Very long chain 3-oxoacyl-CoA synthase 2)	Elovl2 Ssc2	292
Q9JLJ5	reviewed	Elongation of very long chain fatty acids protein 1 (EC 2.3.1.199) (3-keto acyl-CoA synthase Elovl1) (ELOVL fatty acid elongase 1) (ELOVL FA elongase 1) (Very long chain 3-ketoacyl-CoA synthase 1) (Very long chain 3-oxoacyl-CoA synthase 1)	Elovl1 Ssc1	279
P60003	reviewed	Transcription elongation factor 1 homolog	Elof1	83
P83940	reviewed	Elongin-C (EloC) (Elongin 15 kDa subunit) (RNA polymerase II transcription factor SIII subunit C) (SIII p15) (Stromal membrane-associated protein SMAP1B homolog) (Transcription elongation factor B polypeptide 1)	Eloc Tceb1	112
P62869	reviewed	Elongin-B (EloB) (Elongin 18 kDa subunit) (RNA polymerase II transcription factor SIII subunit B) (SIII p18) (Transcription elongation factor B polypeptide 2)	Elob Tceb2	118
Q8CB77	reviewed	Elongin-A (EloA) (Elongin 110 kDa subunit) (RNA polymerase II transcription factor SIII subunit A1) (SIII p110) (Transcription elongation factor B polypeptide 3)	Eloa Tceb3	773
P54320	reviewed	Elastin (Tropoelastin)	Eln	860
Q91YP6	reviewed	ELMO domain-containing protein 3 (RNA-binding motif and ELMO domain-containing protein 1)	Elmod3 Rbed1	381
Q8BGF6	reviewed	ELMO domain-containing protein 2	Elmod2	293
Q3V1U8	reviewed	ELMO domain-containing protein 1	Elmod1	326
Q8BYZ7	reviewed	Engulfment and cell motility protein 3	Elmo3	720
Q8BHL5	reviewed	Engulfment and cell motility protein 2 (Protein ced-12 homolog A)	Elmo2 Kiaa1834	732
Q8BPU7	reviewed	Engulfment and cell motility protein 1 (Protein ced-12 homolog)	Elmo1	727
Q80VR2	reviewed	RNA polymerase II elongation factor ELL3	Ell3	395
Q3UKU1	reviewed	RNA polymerase II elongation factor ELL2	Ell2	639
O08856	reviewed	RNA polymerase II elongation factor ELL (Eleven-nineteen lysine-rich leukemia protein)	Ell	602
P41158	reviewed	ETS domain-containing protein Elk-4 (Serum response factor accessory protein 1) (SAP-1) (SRF accessory protein 1)	Elk4 Sap1	430
P41971	reviewed	ETS domain-containing protein Elk-3 (ETS-related protein ERP) (ETS-related protein NET)	Elk3 Erp Net	409
P41969	reviewed	ETS domain-containing protein Elk-1	Elk1	429
Q68FM6	reviewed	Protein phosphatase 1 regulatory subunit 29 (Extracellular leucine-rich repeat and fibronectin type III domain-containing protein 2) (Leucine-rich repeat and fibronectin type-III domain-containing protein 6) (Leucine-rich repeat-containing protein 62)	Elfn2 Kiaa1904 Lrrc62 Ppp1r29	823
Q8C8T7	reviewed	Protein ELFN1 (Extracellular leucine-rich repeat and fibronectin type-III domain-containing protein 1) (Protein phosphatase 1 regulatory subunit 28)	Elfn1 Ppp1r28	828
Q8VDK3	reviewed	ETS-related transcription factor Elf-5 (E74-like factor 5)	Elf5	253
Q9Z2U4	reviewed	ETS-related transcription factor Elf-4 (E74-like factor 4) (Myeloid Elf-1-like factor)	Elf4 Mef	655
Q3UPW2	reviewed	ETS-related transcription factor Elf-3 (E74-like factor 3) (Epithelial-restricted with serine box) (Epithelium-restricted Ets protein ESX) (Epithelium-specific Ets transcription factor 1) (ESE-1)	Elf3 Ert Esx Jen	391
Q9JHC9	reviewed	ETS-related transcription factor Elf-2 (E74-like factor 2) (New ETS-related factor)	Elf2 Nerf	593
Q60775	reviewed	ETS-related transcription factor Elf-1 (E74-like factor 1)	Elf1	612
Q61701	reviewed	ELAV-like protein 4 (Hu-antigen D) (HuD) (Paraneoplastic encephalomyelitis antigen HuD)	Elavl4 Hud	385
Q60900	reviewed	ELAV-like protein 3 (Hu-antigen C) (HuC)	Elavl3 Huc	367
Q60899	reviewed	ELAV-like protein 2 (ELAV-like neuronal protein 1) (Hu-antigen B) (HuB) (Nervous system-specific RNA-binding protein Mel-N1)	Elavl2 Hub	360
P70372	reviewed	ELAV-like protein 1 (Elav-like generic protein) (Hu-antigen R) (HuR) (MelG)	Elavl1 Elra Hua	326
Q3UZV7	reviewed	Endosome/lysosome-associated apoptosis and autophagy regulator family member 2 (Estrogen-induced gene 121-like protein)	Elapor2 Eig121l	1028
A2AFS3	reviewed	Endosome/lysosome-associated apoptosis and autophagy regulator 1	Elapor1 Kiaa1324	1009
Q3UP87	reviewed	Neutrophil elastase (EC 3.4.21.37) (Elastase-2) (Leukocyte elastase)	Elane Ela2	265
Q80Y81	reviewed	Zinc phosphodiesterase ELAC protein 2 (EC 3.1.26.11) (ElaC homolog protein 2) (Ribonuclease Z 2) (RNase Z 2) (tRNA 3 endonuclease 2) (tRNase Z 2)	Elac2	831
Q8VEB6	reviewed	Zinc phosphodiesterase ELAC protein 1 (EC 3.1.26.11) (ElaC homolog protein 1) (Ribonuclease Z 1) (RNase Z 1) (tRNA 3 endonuclease 1) (tRNase Z 1)	Elac1	362
Q8K0G5	reviewed	EARP and GARP complex-interacting protein 1 (Endosome-associated recycling protein-interacting protein) (Golgi-associated retrograde protein-interacting protein) (Tumor-suppressing STF cDNA 1 protein) (Tumor-suppressing subchromosomal transferable fragment candidate gene 1 protein)	Eipr1 Tssc1	386
O55135	reviewed	Eukaryotic translation initiation factor 6 (eIF-6) (B4 integrin interactor) (CAB) (p27(BBP))	Eif6 Itgb4bp	245
Q05D44	reviewed	Eukaryotic translation initiation factor 5B (eIF-5B) (EC 3.6.5.3) (Translation initiation factor IF-2)	Eif5b If2	1216
Q8BGY2	reviewed	Eukaryotic translation initiation factor 5A-2 (eIF-5A-2) (eIF-5A2) (Eukaryotic initiation factor 5A isoform 2)	Eif5a2	153
P63242	reviewed	Eukaryotic translation initiation factor 5A-1 (eIF-5A-1) (eIF-5A1) (Eukaryotic initiation factor 5A isoform 1) (eIF-5A) (eIF-4D)	Eif5a	154
P59325	reviewed	Eukaryotic translation initiation factor 5 (eIF-5)	Eif5	429
Q9WUK2	reviewed	Eukaryotic translation initiation factor 4H (eIF-4H) (Williams-Beuren syndrome chromosomal region 1 protein homolog)	Eif4h Wbscr1	248
Q80XI3	reviewed	Eukaryotic translation initiation factor 4 gamma 3 (eIF-4-gamma 3) (eIF-4G 3) (eIF4G 3) (eIF-4-gamma II) (eIF4GII)	Eif4g3	1579
Q62448	reviewed	Eukaryotic translation initiation factor 4 gamma 2 (eIF-4-gamma 2) (eIF-4G 2) (eIF4G 2) (Novel APOBEC-1 target 1) (Translation repressor NAT1) (p97)	Eif4g2 Nat1	906
Q6NZJ6	reviewed	Eukaryotic translation initiation factor 4 gamma 1 (eIF-4-gamma 1) (eIF-4G 1) (eIF-4G1)	Eif4g1	1600
Q9EST3	reviewed	Eukaryotic translation initiation factor 4E transporter (4E-T) (eIF4E transporter) (Eukaryotic translation initiation factor 4E nuclear import factor 1)	Eif4enif1 Clast4	983
Q80VV3	reviewed	Eukaryotic translation initiation factor 4E-binding protein 3 (4E-BP3) (eIF4E-binding protein 3)	Eif4ebp3	101
P70445	reviewed	Eukaryotic translation initiation factor 4E-binding protein 2 (4E-BP2) (eIF4E-binding protein 2) (Phosphorylated heat- and acid-stable protein regulated by insulin 2) (PHAS-II)	Eif4ebp2	120
Q60876	reviewed	Eukaryotic translation initiation factor 4E-binding protein 1 (4E-BP1) (eIF4E-binding protein 1) (Phosphorylated heat- and acid-stable protein regulated by insulin 1) (PHAS-I)	Eif4ebp1	117
Q9DBB5	reviewed	Eukaryotic translation initiation factor 4E type 3 (eIF-4E type 3) (eIF-4E3) (eIF4E type 3) (eIF4E-3)	Eif4e3	207
Q8BMB3	reviewed	Eukaryotic translation initiation factor 4E type 2 (eIF-4E type 2) (eIF4E type 2) (eIF4E-2) (mRNA cap-binding protein type 2) (Eukaryotic translation initiation factor 4E-like 3) (eIF4E-like protein 4E-LP)	Eif4e2 Eif4el3	245
Q3UTA9	reviewed	Eukaryotic translation initiation factor 4E type 1B (Oocyte-specific eukaryotic translation initiation factor 4E-like)	Eif4e1b Gm273	244
P63073	reviewed	Eukaryotic translation initiation factor 4E (eIF-4E) (eIF4E) (mRNA cap-binding protein) (eIF-4F 25 kDa subunit)	Eif4e	217
Q8BGD9	reviewed	Eukaryotic translation initiation factor 4B (eIF-4B)	Eif4b	611
Q91VC3	reviewed	Eukaryotic initiation factor 4A-III (eIF-4A-III) (eIF4A-III) (EC 3.6.4.13) (ATP-dependent RNA helicase DDX48) (ATP-dependent RNA helicase eIF4A-3) (DEAD box protein 48) (Eukaryotic translation initiation factor 4A isoform 3) [Cleaved into: Eukaryotic initiation factor 4A-III, N-terminally processed]	Eif4a3 Ddx48	411
P10630	reviewed	Eukaryotic initiation factor 4A-II (eIF-4A-II) (eIF4A-II) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-2)	Eif4a2 Ddx2b	407
P60843	reviewed	Eukaryotic initiation factor 4A-I (eIF-4A-I) (eIF4A-I) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-1)	Eif4a1 Ddx2a Eif4a	406
Q99JX4	reviewed	Eukaryotic translation initiation factor 3 subunit M (eIF3m) (PCI domain-containing protein 1)	Eif3m Pcid1	374
Q8QZY1	reviewed	Eukaryotic translation initiation factor 3 subunit L (eIF3l) (66 kDa tyrosine-rich heat shock protein) (67 kDa polymerase-associated factor) (Eukaryotic translation initiation factor 3 subunit 6-interacting protein) (Eukaryotic translation initiation factor 3 subunit E-interacting protein) (HSP-66Y) (PAF67)	Eif3l Eif3eip Eif3s6ip Paf67	564
Q9DBZ5	reviewed	Eukaryotic translation initiation factor 3 subunit K (eIF3k) (Eukaryotic translation initiation factor 3 subunit 12) (eIF-3 p25)	Eif3k Eif3s12	218
Q66JS6	reviewed	Eukaryotic translation initiation factor 3 subunit J-B (eIF3j-B) (Eukaryotic translation initiation factor 3 subunit 1-B) (eIF-3-alpha-B) (eIF3 p35)	Eif3j2 Eif3s1-2 Gm9781	263
Q3UGC7	reviewed	Eukaryotic translation initiation factor 3 subunit J-A (eIF3j-A) (Eukaryotic translation initiation factor 3 subunit 1-A) (eIF-3-alpha-A) (eIF3 p35)	Eif3j1 Eif3s1-1	261
Q9QZD9	reviewed	Eukaryotic translation initiation factor 3 subunit I (eIF3i) (Eukaryotic translation initiation factor 3 subunit 2) (TGF-beta receptor-interacting protein 1) (TRIP-1) (eIF-3-beta) (eIF3 p36)	Eif3i Eif3s2 Trip1	325
Q91WK2	reviewed	Eukaryotic translation initiation factor 3 subunit H (eIF3h) (Eukaryotic translation initiation factor 3 subunit 3) (eIF-3-gamma) (eIF3 p40 subunit)	Eif3h Eif3s3	352
Q9Z1D1	reviewed	Eukaryotic translation initiation factor 3 subunit G (eIF3g) (Eukaryotic translation initiation factor 3 RNA-binding subunit) (eIF-3 RNA-binding subunit) (Eukaryotic translation initiation factor 3 subunit 4) (eIF-3-delta) (eIF3 p42) (eIF3 p44)	Eif3g Eif3p42 Eif3s4	320
Q9DCH4	reviewed	Eukaryotic translation initiation factor 3 subunit F (eIF3f) (Deubiquitinating enzyme eIF3f) (EC 3.4.19.12) (Eukaryotic translation initiation factor 3 subunit 5) (eIF-3-epsilon) (eIF3 p47)	Eif3f Eif3s5	361
P60229	reviewed	Eukaryotic translation initiation factor 3 subunit E (eIF3e) (Eukaryotic translation initiation factor 3 subunit 6) (MMTV integration site 6) (Mammary tumor-associated protein INT-6) (Viral integration site protein INT-6) (eIF-3 p48)	Eif3e Eif3s6 Int6	445
O70194	reviewed	Eukaryotic translation initiation factor 3 subunit D (eIF3d) (Eukaryotic translation initiation factor 3 subunit 7) (eIF-3-zeta) (eIF3 p66)	Eif3d Eif3s7	548
Q8R1B4	reviewed	Eukaryotic translation initiation factor 3 subunit C (eIF3c) (Eukaryotic translation initiation factor 3 subunit 8) (eIF3 p110)	Eif3c Eif3s8	911
Q8JZQ9	reviewed	Eukaryotic translation initiation factor 3 subunit B (eIF3b) (Eukaryotic translation initiation factor 3 subunit 9) (eIF-3-eta) (eIF3 p116)	Eif3b Eif3s9	803
P23116	reviewed	Eukaryotic translation initiation factor 3 subunit A (eIF3a) (Centrosomin) (Eukaryotic translation initiation factor 3 subunit 10) (eIF-3-theta) (eIF3 p167) (eIF3 p180) (eIF3 p185) (p162)	Eif3a Csma Eif3 Eif3s10	1344
Q9Z0N2	reviewed	Eukaryotic translation initiation factor 2 subunit 3, Y-linked (EC 3.6.5.3) (Eukaryotic translation initiation factor 2 subunit gamma, Y-linked) (eIF-2-gamma Y) (Spermatogonial proliferation factor) (Spy)	Eif2s3y	472
Q9Z0N1	reviewed	Eukaryotic translation initiation factor 2 subunit 3, X-linked (EC 3.6.5.3) (Eukaryotic translation initiation factor 2 subunit gamma, X-linked) (eIF-2-gamma X)	Eif2s3x	472
Q99L45	reviewed	Eukaryotic translation initiation factor 2 subunit 2 (Eukaryotic translation initiation factor 2 subunit beta) (eIF-2-beta)	Eif2s2	331
